4K频道,#genre#
Love Nature,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
BRTV8K,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
爱上4K,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
央视频道,#genre#
CCTV1综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV2财经,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV3综艺,https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8
CCTV4中文国际,http://cdn.jdshipin.com:8880/ysp10.php?id=cctv1
CCTV4中文国际美洲,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV4,http://202.102.201.244:40022/rtp/238.1.78.236:7760
CCTV5体育,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5+体育赛事,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV6电影,https://node1.olelive.com:6443/live/CCTV6HD/hls.m3u8
CCTV7国防军事,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV8电视剧,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV9纪录,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV10科教,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV11戏曲,https://node1.olelive.com:6443/live/CCTV11HD/hls.m3u8
CCTV12社会与法,https://node1.olelive.com:6443/live/CCTV12HD/hls.m3u8
CCTV13新闻,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV14少儿,https://node1.olelive.com:6443/live/CCTV14HD/hls.m3u8
CCTV15音乐,https://node1.olelive.com:6443/live/CCTV15HD/hls.m3u8
CCTV16奥林匹克,http://125.210.152.19:9120/live/hzgq-cctv16gq-h264.m3u8
CCTV17农业农村,https://node1.olelive.com:6443/live/CCTV17HD/hls.m3u8
湖南卫视,https://node1.olelive.com:6443/live/HUNANHD/hls.m3u8
